instance,algorithm,trial,success,exec_time_ms,path_length,total_time,total_cost
ML Engineer | init=Python,A*,0,True,3069.728914000734,6,32,546
ML Engineer | init=Python,GA,0,True,186.13006600207882,6,32,546
ML Engineer | init=Python,A*,1,True,3201.082862000476,6,32,546
ML Engineer | init=Python,GA,1,True,204.0780339993944,6,32,546
ML Engineer | init=Python,A*,2,True,3050.1881550007965,6,32,546
ML Engineer | init=Python,GA,2,True,188.18839799860143,6,32,546
ML Engineer | init=Python,A*,3,True,3207.4773099993763,6,32,546
ML Engineer | init=Python,GA,3,True,186.70413700237987,6,32,546
ML Engineer | init=Python,A*,4,True,3098.606559997279,6,32,546
ML Engineer | init=Python,GA,4,True,181.69985200074734,6,32,546
Data Scientist | init=Python,A*,0,True,209.67664500130923,4,22,405
Data Scientist | init=Python,GA,0,True,113.79242800103384,4,22,405
Data Scientist | init=Python,A*,1,True,197.81495999995968,4,22,405
Data Scientist | init=Python,GA,1,True,122.88399200042477,4,22,405
Data Scientist | init=Python,A*,2,True,204.06235600239597,4,22,405
Data Scientist | init=Python,GA,2,True,107.75900199951138,4,22,405
Data Scientist | init=Python,A*,3,True,191.24041000031866,4,22,405
Data Scientist | init=Python,GA,3,True,124.88823100284208,4,22,405
Data Scientist | init=Python,A*,4,True,203.35025699750986,4,22,405
Data Scientist | init=Python,GA,4,True,93.11105100277928,4,22,405
Data Engineer | init=Python,A*,0,True,6.393519000994274,4,16,302
Data Engineer | init=Python,GA,0,True,126.04643500162638,4,16,302
Data Engineer | init=Python,A*,1,True,9.2114719991514,4,16,302
Data Engineer | init=Python,GA,1,True,113.56401600278332,4,16,302
Data Engineer | init=Python,A*,2,True,6.288035001489334,4,16,302
Data Engineer | init=Python,GA,2,True,120.72187499870779,4,16,302
Data Engineer | init=Python,A*,3,True,8.624042002338683,4,16,302
Data Engineer | init=Python,GA,3,True,129.5416569992085,4,16,302
Data Engineer | init=Python,A*,4,True,7.580929002870107,4,16,302
Data Engineer | init=Python,GA,4,True,114.2364160004945,4,16,302
MLOps Engineer | init=Python,A*,0,True,730.8447469986277,6,36,308
MLOps Engineer | init=Python,GA,0,True,141.7132019996643,6,36,308
MLOps Engineer | init=Python,A*,1,True,823.327251997398,6,36,308
MLOps Engineer | init=Python,GA,1,True,143.35493999897153,6,36,308
MLOps Engineer | init=Python,A*,2,True,739.3800960016961,6,36,308
MLOps Engineer | init=Python,GA,2,True,142.3028829995019,6,36,308
MLOps Engineer | init=Python,A*,3,True,811.6045169990684,6,36,308
MLOps Engineer | init=Python,GA,3,True,139.4120280019706,6,36,308
MLOps Engineer | init=Python,A*,4,True,792.2924929989676,6,36,308
MLOps Engineer | init=Python,GA,4,True,140.8353660008288,6,36,308
NLP Engineer | init=Python,A*,0,True,118.75784000221756,5,37,459
NLP Engineer | init=Python,GA,0,True,143.68525099780527,5,37,459
NLP Engineer | init=Python,A*,1,True,122.81162300132564,5,37,459
NLP Engineer | init=Python,GA,1,True,152.02554700226756,5,37,459
NLP Engineer | init=Python,A*,2,True,120.44944100125576,5,37,459
NLP Engineer | init=Python,GA,2,True,142.44431000042823,5,37,459
NLP Engineer | init=Python,A*,3,True,130.25655299861683,5,37,459
NLP Engineer | init=Python,GA,3,True,134.11567599905538,5,37,459
NLP Engineer | init=Python,A*,4,True,123.15156300246599,5,37,459
NLP Engineer | init=Python,GA,4,True,139.82956100153388,5,37,459
Computer Vision Engineer | init=Python,A*,0,True,17.745107998052845,5,29,453
Computer Vision Engineer | init=Python,GA,0,True,140.2237940019404,5,29,453
Computer Vision Engineer | init=Python,A*,1,True,14.09666799736442,5,29,453
Computer Vision Engineer | init=Python,GA,1,True,134.68204400123795,5,29,453
Computer Vision Engineer | init=Python,A*,2,True,15.876393001235556,5,29,453
Computer Vision Engineer | init=Python,GA,2,True,132.08437699722708,5,29,453
Computer Vision Engineer | init=Python,A*,3,True,15.73132799967425,5,29,453
Computer Vision Engineer | init=Python,GA,3,True,141.96333799918648,5,29,453
Computer Vision Engineer | init=Python,A*,4,True,14.658218999102246,5,29,453
